"Source:","/media/work/ivy/controllers/bigboy/hardware/BigBoy/BigBoy.kicad_sch"
"Date:","Wed 27 Dec 2023 07:18:30 PM"
"Tool:","Eeschema 7.0.9+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","120"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"R35, R36","2","4.7k","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","",""
"SW1","1","UB1/2","SW_Push_Dual_x2","Computie_Miscellaneous:E-Switch TL2243","Push button switch, generic, separate symbols, four pins","",""
"SW2","1","~{RESET}","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins","",""
"TP1","1","3.3V","TestPoint","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","test point","",""
"U1","1","AP7361EA-33E-13","AP7361C-33E","Package_TO_SOT_SMD:SOT-223","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","",""
"U2","1","STM32H743BITx","STM32H743BITx","Computie_SMT:LQFP-208_28x28mm_P0.5mm","STMicroelectronics Arm Cortex-M7 MCU, 2048KB flash, 1024KB RAM, 480 MHz, 1.62-3.6V, 168 GPIO, LQFP208","",""
"U3","1","KC3225Z25.0000C1KX00","KC2520Z","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","1.8432MHz ~ 125MHz Crystal Oscillator","",""
"U4","1","LAN8742A","LAN8742A","Package_DFN_QFN:VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias","LAN8720 Ethernet PHY with RMII interface, QFN-24","",""
"U5, U6, U7, U8, U9","5","74ALVC164245DG","74ALVC16245DG","Computie_SMT:TSSOP-48_6.1x12.5mm_P0.5mm","16-Bit Dual Supply Bidirectional Translating Transceiver with 5V Tolerant Inputs and Outputs, TSSOP-48","",""
"U10","1","Hirose PCN10-128P-2.54DS(72)","VME64-P1-4R-NS","Computie_Connectors:DIN41612_C_4x32_Male_Horizontal_THT","VME64 P1 (Board-side Headers), 4 Row (Non-Standard) DIN41612 Connector","",""
"Y1","1","32,768Hz","Crystal","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","Two pin crystal","",""
